samples_per_class,discount,num_features,num_selected,n_support,lambda,kernel1_size,kernel2_size,num_skip,participant1,participant2,test_acc,n_shots,sim_acc,svm_acc,knn_total_acc,walk,stand,upstairs,type,drink,talk,smoke,eat,sim sit,sim bike,sim jog,sim downstairs,sim write,svm sit,svm bike,svm jog,svm downstairs,svm write,knn sit,knn bike,knn jog,knn downstairs,knn write,len_source,len_target,sim_source,sim_target,svm_source,svm_target,knn_source,knn_target
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.83125,1,0.7940749021799888,0.7940749021799888,0.7940749021799888,0.95,0.75,0.95,0.9,0.95,0.85,0.5,0.8,0.16433761878144215,0.9429849077697038,0.9754052543320291,0.9357182783678032,0.9519284516489659,0.16433761878144215,0.9429849077697038,0.9754052543320291,0.9357182783678032,0.9519284516489659,0.16433761878144215,0.9429849077697038,0.9754052543320291,0.9357182783678032,0.9519284516489659,152,152,0.5921052631578947,0.881578947368421,0.4407894736842105,1.0,0.618421052631579,0.8552631578947368
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.83125,2,0.8543624161073825,0.8682326621923937,0.8576062639821029,0.95,0.75,0.95,0.9,0.95,0.85,0.5,0.8,0.5676733780760627,0.7841163310961968,0.9821029082774049,0.9519015659955258,0.9860178970917226,0.5123042505592841,0.9010067114093959,0.9821029082774049,0.9574944071588367,0.988255033557047,0.45357941834451904,0.9256152125279642,0.9793064876957495,0.9368008948545862,0.9927293064876958,144,144,0.5208333333333334,0.9652777777777778,0.4027777777777778,1.0,0.6458333333333334,0.8472222222222222
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.83125,3,0.9025181869054281,0.9280358142137661,0.9236709569110241,0.95,0.75,0.95,0.9,0.95,0.85,0.5,0.8,0.6950195858981534,0.8953553441522104,0.9815332960268607,0.9546726357022943,0.9860100727476218,0.7621712367095691,0.9602686066032456,0.9804141018466704,0.9457190822607723,0.9916060436485731,0.757694459988808,0.9770565193060996,0.978735310576385,0.9445998880805819,0.9602686066032456,136,136,0.6029411764705882,0.9191176470588235,0.41911764705882354,1.0,0.6544117647058824,0.8823529411764706
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.83125,4,0.8342665173572228,0.8097424412094065,0.9167973124300112,0.95,0.75,0.95,0.9,0.95,0.85,0.5,0.8,0.3303471444568869,0.9277715565509519,0.9837625979843225,0.9333706606942889,0.996080627099664,0.1707726763717805,0.9776035834266518,0.9826427771556551,0.9182530795072789,0.9994400895856663,0.7402015677491601,0.9899216125419933,0.9742441209406495,0.9087346024636058,0.9708846584546472,128,128,0.59375,0.890625,0.4609375,1.0,0.6796875,0.8671875
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.83125,5,0.7938375350140056,0.7930532212885154,0.9248179271708683,0.95,0.75,0.95,0.9,0.95,0.85,0.5,0.8,0.17142857142857143,0.9098039215686274,0.9837535014005602,0.9053221288515406,0.9988795518207283,0.10644257703081232,0.9641456582633053,0.9831932773109243,0.911484593837535,1.0,0.7450980392156863,0.9882352941176471,0.9742296918767507,0.9400560224089636,0.9764705882352941,120,120,0.5833333333333334,0.8916666666666667,0.5,0.9666666666666667,0.675,0.8583333333333333
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.90625,1,0.7777529346003353,0.7777529346003353,0.7777529346003353,1.0,1.0,1.0,0.95,0.95,0.9,0.75,0.7,0.05366126327557295,0.951369480156512,0.9267747344885411,0.9569591950810509,1.0,0.05366126327557295,0.951369480156512,0.9267747344885411,0.9569591950810509,1.0,0.05366126327557295,0.951369480156512,0.9267747344885411,0.9569591950810509,1.0,152,152,0.5197368421052632,0.9013157894736842,0.45394736842105265,0.9736842105263158,0.631578947368421,0.9078947368421053
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.90625,2,0.8927293064876958,0.7656599552572707,0.951006711409396,1.0,1.0,1.0,0.95,0.95,0.9,0.75,0.7,0.6219239373601789,0.9451901565995525,0.9563758389261745,0.9429530201342282,0.9972035794183445,0.20078299776286354,0.7114093959731543,0.9563758389261745,0.959731543624161,1.0,0.9284116331096197,0.9496644295302014,0.947986577181208,0.9619686800894854,0.9670022371364653,144,144,0.5347222222222222,0.8819444444444444,0.4513888888888889,0.9930555555555556,0.7361111111111112,0.8055555555555556
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.90625,3,0.923447118074986,0.885394515948517,0.96205931729155,1.0,1.0,1.0,0.95,0.95,0.9,0.75,0.7,0.9345271404588696,0.9345271404588696,0.9367655288192501,0.8321208729714605,0.9792949076664801,0.8349188584219362,0.7162842753217683,0.9563514269725797,0.9255735870173475,0.9938444320089536,0.9423614997202014,0.9479574706211528,0.9697817571348629,0.9848908785674314,0.9653049804141018,136,136,0.5147058823529411,0.9044117647058824,0.375,1.0,0.75,0.8455882352941176
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.90625,4,0.9041433370660694,0.9368421052631579,0.9585666293393057,1.0,1.0,1.0,0.95,0.95,0.9,0.75,0.7,0.9524076147816349,0.8090705487122061,0.931131019036954,0.8555431131019037,0.9725643896976484,0.9053751399776035,0.9333706606942889,0.9557670772676372,0.9014557670772676,0.9882418812989922,0.961926091825308,0.9479283314669653,0.9697648376259799,0.9524076147816349,0.9608062709966405,128,128,0.46875,0.9609375,0.3515625,1.0,0.6484375,0.9375
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.90625,5,0.9135014005602241,0.9475630252100841,0.9604481792717087,1.0,1.0,1.0,0.95,0.95,0.9,0.75,0.7,0.946218487394958,0.8414565826330532,0.9456582633053221,0.8627450980392157,0.9714285714285714,0.8969187675070028,0.9338935574229692,0.9697478991596639,0.9535014005602241,0.9837535014005602,0.9529411764705882,0.9478991596638655,0.9787114845938375,0.9523809523809523,0.9703081232492997,120,120,0.48333333333333334,0.9583333333333334,0.3416666666666667,1.0,0.6833333333333333,0.9
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.925,1,0.7255449972051425,0.7255449972051425,0.7255449972051425,0.95,0.9,1.0,0.9,0.9,1.0,0.8,0.95,0.325321408608161,0.48630519843487985,0.9072107322526551,0.9111235326998323,0.9977641140301845,0.325321408608161,0.48630519843487985,0.9072107322526551,0.9111235326998323,0.9977641140301845,0.325321408608161,0.48630519843487985,0.9072107322526551,0.9111235326998323,0.9977641140301845,152,152,0.4276315789473684,0.9802631578947368,0.3355263157894737,0.993421052631579,0.5,0.9144736842105263
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.925,2,0.8498881431767338,0.8487695749440716,0.7988814317673378,0.95,0.9,1.0,0.9,0.9,1.0,0.8,0.95,0.8993288590604027,0.5816554809843401,0.8652125279642058,0.918903803131991,0.9843400447427293,0.866331096196868,0.6616331096196868,0.8053691275167785,0.9239373601789709,0.9865771812080537,0.46756152125279643,0.674496644295302,0.9077181208053692,0.9468680089485458,0.9977628635346756,144,144,0.4444444444444444,0.9652777777777778,0.375,0.9930555555555556,0.5902777777777778,0.9166666666666666
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.925,3,0.7848908785674314,0.799888080581981,0.7920537213206491,0.95,0.9,1.0,0.9,0.9,1.0,0.8,0.95,0.5019585898153329,0.7123670956911025,0.7761611639619473,0.940123111359821,0.9938444320089536,0.48069390039171794,0.7834359261331841,0.8047006155567991,0.9339675433687745,0.9966424174594292,0.2909904868494684,0.7935086737548964,0.9082260772243984,0.9781757134862898,0.9893676552881925,136,136,0.5,0.9117647058823529,0.375,0.9926470588235294,0.625,0.8455882352941176
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.925,4,0.8520716685330347,0.8916013437849944,0.8819708846584546,0.95,0.9,1.0,0.9,0.9,1.0,0.8,0.95,0.9137737961926092,0.7295632698768197,0.72508398656215,0.9087346024636058,0.9832026875699889,0.9042553191489362,0.7933930571108623,0.8650615901455767,0.9087346024636058,0.986562150055991,0.841545352743561,0.8023516237402015,0.7933930571108623,0.9837625979843225,0.9888017917133258,128,128,0.5,0.9140625,0.359375,0.9921875,0.7265625,0.796875
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.925,5,0.8783193277310924,0.9091316526610644,0.9010644257703081,0.95,0.9,1.0,0.9,0.9,1.0,0.8,0.95,0.9310924369747899,0.7417366946778712,0.8313725490196079,0.9176470588235294,0.9697478991596639,0.9361344537815126,0.7983193277310925,0.9047619047619048,0.9366946778711485,0.9697478991596639,0.8436974789915966,0.8033613445378152,0.8862745098039215,0.9787114845938375,0.9932773109243698,120,120,0.49166666666666664,0.8916666666666667,0.38333333333333336,0.9916666666666667,0.7166666666666667,0.8583333333333333
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.93125,1,0.7707098937954164,0.7707098937954164,0.7707098937954164,0.9,0.9,1.0,1.0,0.9,0.9,1.0,0.85,0.10173281162660704,0.8468418110676356,0.9927333705980995,0.9262157629960872,0.9860257126886529,0.10173281162660704,0.8468418110676356,0.9927333705980995,0.9262157629960872,0.9860257126886529,0.10173281162660704,0.8468418110676356,0.9927333705980995,0.9262157629960872,0.9860257126886529,152,152,0.6381578947368421,0.7894736842105263,0.5789473684210527,0.8947368421052632,0.7236842105263158,0.7763157894736842
8,0.9,128,2,5,0.0001,2,1,1,1,same,0.93125,2,0.8115212527964206,0.7819910514541387,0.9110738255033557,0.9,0.9,1.0,1.0,0.9,0.9,1.0,0.85,0.5212527964205816,0.6638702460850112,0.9809843400447428,0.9049217002237137,0.9865771812080537,0.1772930648769575,0.831096196868009,0.9804250559284117,0.9239373601789709,0.9972035794183445,0.8003355704697986,0.8461968680089486,0.9860178970917226,0.9636465324384788,0.95917225950783,144,144,0.6180555555555556,0.9236111111111112,0.5208333333333334,0.9861111111111112,0.8263888888888888,0.7847222222222222
