bs,discount,lambda,kernel1_size,kernel2_size,num_skip,participant1,participant2,test_acc,n_shots,sim_acc,svm_acc,knn_total_acc,walk,stand,upstairs,type,drink,talk,smoke,eat,sim jog,sim sit,sim bike,sim downstairs,sim write,svm jog,svm sit,svm bike,svm downstairs,svm write,knn jog,knn sit,knn bike,knn downstairs,knn write,len_source,len_target,sim_source,sim_target,svm_source,svm_target,knn_source,knn_target
64,0.6,0,2,1,20,1,1,0.8333333333333334,1,0.7908328675237563,0.7908328675237563,0.7908328675237563,1.0,1.0,1.0,0.8,0.4,1.0,0.42857142857142855,0.8,0.6964784795975405,0.8742314141978759,0.5444382336500838,0.9849077697037452,0.854108440469536,0.6964784795975405,0.8742314141978759,0.5444382336500838,0.9849077697037452,0.854108440469536,0.6964784795975405,0.8742314141978759,0.5444382336500838,0.9849077697037452,0.854108440469536,28,28,0.4642857142857143,0.9642857142857143,0.2857142857142857,1.0,0.5357142857142857,0.8214285714285714
64,0.6,0,2,1,20,1,1,0.8333333333333334,2,0.9044742729306487,0.8897091722595079,0.9284116331096197,1.0,1.0,1.0,0.8,0.4,1.0,0.42857142857142855,0.8,0.9116331096196868,0.889821029082774,0.8853467561521253,0.9496644295302014,0.8859060402684564,0.8115212527964206,0.8920581655480985,0.8993288590604027,0.9731543624161074,0.87248322147651,0.9921700223713646,0.8736017897091722,0.9798657718120806,0.8769574944071589,0.9194630872483222,20,20,0.5,0.9,0.5,0.95,0.55,1.0
64,0.6,0,2,1,20,1,1,0.8333333333333334,3,0.9091214325685506,0.9199776161163962,0.9280358142137661,1.0,1.0,1.0,0.8,0.4,1.0,0.42857142857142855,0.8,0.965864577504197,0.8914381645215445,0.8628987129266927,0.9317291550083939,0.893676552881925,0.9725797425853385,0.8947957470621153,0.910464465584779,0.9345271404588696,0.8875209848908786,0.9927252378287633,0.8662562954672636,0.9843312814773363,0.8824846110800224,0.9143816452154448,12,12,0.4166666666666667,0.9166666666666666,0.4166666666666667,0.9166666666666666,0.5,0.6666666666666666
64,0.6,0,2,1,20,1,1,0.8333333333333334,4,0.8686450167973124,0.8683090705487122,0.8954087346024636,1.0,1.0,1.0,0.8,0.4,1.0,0.42857142857142855,0.8,0.961926091825308,0.9031354983202687,0.7973124300111982,0.944568868980963,0.7362821948488242,0.971444568868981,0.9081746920492721,0.85498320268757,0.9557670772676372,0.6511758118701008,0.9563269876819709,0.8701007838745801,0.9792833146696529,0.925531914893617,0.7458006718924972,7,7,0.2857142857142857,1.0,0.2857142857142857,1.0,0.42857142857142855,0.42857142857142855
64,0.6,0,2,1,20,1,1,0.8333333333333334,5,0.8462745098039216,0.8676750700280113,0.9287394957983194,1.0,1.0,1.0,0.8,0.4,1.0,0.42857142857142855,0.8,0.9798319327731092,0.8974789915966387,0.6408963585434174,0.9350140056022409,0.7781512605042017,0.988795518207283,0.900280112044818,0.8358543417366947,0.9361344537815126,0.6773109243697479,0.988795518207283,0.8789915966386554,0.9770308123249299,0.9142857142857143,0.884593837535014,2,2,False,True,False,True,False,True
64,0.6,1e-06,2,1,20,1,1,0.8611111111111112,1,0.7768585802124092,0.7768585802124092,0.7768585802124092,1.0,1.0,1.0,1.0,0.6,1.0,0.7142857142857143,0.8,0.5997764114030184,0.7551704863051985,0.8412520961430967,0.9301285634432644,0.7579653437674678,0.5997764114030184,0.7551704863051985,0.8412520961430967,0.9301285634432644,0.7579653437674678,0.5997764114030184,0.7551704863051985,0.8412520961430967,0.9301285634432644,0.7579653437674678,28,28,0.42857142857142855,1.0,0.35714285714285715,1.0,0.6071428571428571,0.8571428571428571
64,0.6,1e-06,2,1,20,1,1,0.8611111111111112,2,0.8729306487695749,0.8504474272930649,0.8563758389261745,1.0,1.0,1.0,1.0,0.6,1.0,0.7142857142857143,0.8,0.9686800894854586,0.7416107382550335,0.8562639821029083,0.964765100671141,0.8333333333333334,0.9289709172259508,0.8215883668903803,0.6593959731543624,0.9731543624161074,0.8691275167785235,0.7119686800894854,0.7583892617449665,0.8646532438478747,0.9854586129753915,0.9614093959731543,20,20,0.4,1.0,0.35,1.0,0.65,0.7
64,0.6,1e-06,2,1,20,1,1,0.8611111111111112,3,0.8652490207050924,0.9059876888640179,0.8941242305540011,1.0,1.0,1.0,1.0,0.6,1.0,0.7142857142857143,0.8,0.9776161163961947,0.8315612758813654,0.6284275321768327,0.9731393396754336,0.9155008393956351,0.949076664801343,0.8886401790710688,0.8282036933407946,0.9792949076664801,0.8847229994404029,0.8897593732512591,0.761611639619474,0.8567431449356463,0.9815332960268607,0.9809736989367656,12,12,0.5,1.0,0.3333333333333333,1.0,0.6666666666666666,0.8333333333333334
64,0.6,1e-06,2,1,20,1,1,0.8611111111111112,4,0.8911534154535274,0.929003359462486,0.9320268756998881,1.0,1.0,1.0,1.0,0.6,1.0,0.7142857142857143,0.8,0.9759238521836506,0.8258678611422172,0.7620380739081747,0.9764837625979843,0.9154535274356103,0.9736842105263158,0.8846584546472565,0.9143337066069429,0.9764837625979843,0.8958566629339306,0.9613661814109743,0.7866741321388577,0.9574468085106383,0.9804031354983203,0.9742441209406495,7,7,0.5714285714285714,1.0,0.5714285714285714,1.0,0.5714285714285714,0.8571428571428571
64,0.6,1e-06,2,1,20,1,1,0.8611111111111112,5,0.9105882352941177,0.9373669467787115,0.9381512605042017,1.0,1.0,1.0,1.0,0.6,1.0,0.7142857142857143,0.8,0.9798319327731092,0.8291316526610645,0.8319327731092437,0.969187675070028,0.9428571428571428,0.9781512605042016,0.8689075630252101,0.9439775910364145,0.9815126050420168,0.9142857142857143,0.9854341736694678,0.7865546218487395,0.9557422969187676,0.9781512605042016,0.984873949579832,2,2,True,True,True,True,True,True
64,0.6,5e-06,2,1,20,1,1,0.8611111111111112,1,0.6847400782560089,0.6847400782560089,0.6847400782560089,1.0,1.0,1.0,0.8,0.0,0.8,0.8571428571428571,0.8,0.6640581330352152,0.1335941866964785,0.7227501397428732,0.9267747344885411,0.9765231973169368,0.6640581330352152,0.1335941866964785,0.7227501397428732,0.9267747344885411,0.9765231973169368,0.6640581330352152,0.1335941866964785,0.7227501397428732,0.9267747344885411,0.9765231973169368,28,28,0.4642857142857143,1.0,0.42857142857142855,1.0,0.6428571428571429,0.9285714285714286
64,0.6,5e-06,2,1,20,1,1,0.8611111111111112,2,0.9294183445190156,0.9182326621923937,0.9369127516778524,1.0,1.0,1.0,0.8,0.0,0.8,0.8571428571428571,0.8,0.9614093959731543,0.9429530201342282,0.8540268456375839,0.9463087248322147,0.9423937360178971,0.9781879194630873,0.924496644295302,0.7841163310961968,0.9457494407158836,0.9586129753914989,0.9893736017897091,0.9636465324384788,0.9328859060402684,0.8931767337807607,0.9054809843400448,20,20,0.45,1.0,0.45,1.0,0.7,0.9
64,0.6,5e-06,2,1,20,1,1,0.8611111111111112,3,0.8377168438724119,0.7781757134862899,0.936429770565193,1.0,1.0,1.0,0.8,0.0,0.8,0.8571428571428571,0.8,0.9479574706211528,0.6278679350867375,0.6894236149972021,0.9412423055400112,0.9820928931169558,0.9630665920537214,0.2221600447677672,0.7627308337996642,0.9552322327923894,0.9876888640179071,0.9781757134862898,0.9641857862339116,0.9171796306659206,0.9266927811975377,0.8959149412423055,12,12,0.25,1.0,0.25,1.0,0.5,1.0
