samples_per_class,discount,num_features,num_selected,lambda,kernel1_size,kernel2_size,num_skip,participant1,participant2,test_acc,n_shots,sim_acc,svm_acc,knn_total_acc,walk,stand,upstairs,type,drink,talk,smoke,eat,sim sit,sim bike,sim jog,sim downstairs,sim write,svm sit,svm bike,svm jog,svm downstairs,svm write,knn sit,knn bike,knn jog,knn downstairs,knn write,len_source,len_target,sim_source,sim_target,svm_source,svm_target,knn_source,knn_target
6,0.9,128,2,0.0001,2,1,1,1,same,0.21875,1,0.7284516489659028,0.7284516489659028,0.7284516489659028,0.0,0.0,0.5,0.0,0.95,0.0,0.3,0.0,0.6785913918390162,0.46282839575181667,0.9893795416433762,0.616545556176635,0.8949133594186697,0.6785913918390162,0.46282839575181667,0.9893795416433762,0.616545556176635,0.8949133594186697,0.6785913918390162,0.46282839575181667,0.9893795416433762,0.616545556176635,0.8949133594186697,152,152,0.5657894736842105,0.8881578947368421,0.21710526315789475,1.0,0.5263157894736842,0.6973684210526315
6,0.9,128,2,0.0001,2,1,1,1,same,0.21875,2,0.7483221476510067,0.6913870246085011,0.8069351230425056,0.0,0.0,0.5,0.0,0.95,0.0,0.3,0.0,0.6129753914988815,0.6498881431767338,0.9899328859060402,0.5514541387024608,0.9373601789709173,0.6437360178970917,0.5805369127516778,0.7511185682326622,0.5620805369127517,0.9194630872483222,0.5721476510067114,0.9261744966442953,0.9893736017897091,0.5967561521252797,0.9502237136465325,144,144,0.5972222222222222,0.8194444444444444,0.5069444444444444,0.9652777777777778,0.6597222222222222,0.7013888888888888
6,0.9,128,2,0.0001,2,1,1,1,same,0.21875,3,0.804364857302742,0.7484051482932289,0.838500279798545,0.0,0.0,0.5,0.0,0.95,0.0,0.3,0.0,0.5204252937884724,0.8209289311695579,0.9798545047565753,0.7313933967543369,0.9692221600447678,0.3794068270844992,0.6927811975377728,0.9865696698377169,0.6961387800783436,0.987129266927812,0.5858981533296027,0.9423614997202014,0.9843312814773363,0.7274762171236709,0.9524342473419138,136,136,0.5661764705882353,0.8382352941176471,0.5073529411764706,0.9485294117647058,0.7426470588235294,0.7867647058823529
6,0.9,128,2,0.0001,2,1,1,1,same,0.21875,4,0.7931690929451288,0.7497200447928332,0.8698768197088466,0.0,0.0,0.5,0.0,0.95,0.0,0.3,0.0,0.5487122060470325,0.6970884658454647,0.9322508398656215,0.828107502799552,0.9596864501679732,0.44680851063829785,0.5795072788353863,0.986562150055991,0.7508398656215005,0.9848824188129899,0.5862262038073908,0.9356103023516238,0.9843225083986562,0.8880179171332587,0.9552071668533034,128,128,0.5546875,0.859375,0.5078125,0.984375,0.6953125,0.859375
6,0.9,128,2,0.0001,2,1,1,1,same,0.21875,5,0.7995518207282913,0.7836414565826331,0.8789915966386554,0.0,0.0,0.5,0.0,0.95,0.0,0.3,0.0,0.5669467787114846,0.6778711484593838,0.9641456582633053,0.8319327731092437,0.9568627450980393,0.507563025210084,0.5955182072829132,0.984873949579832,0.849859943977591,0.9803921568627451,0.5859943977591037,0.9322128851540616,0.9882352941176471,0.9333333333333333,0.9551820728291317,120,120,0.5583333333333333,0.8416666666666667,0.5,0.9833333333333333,0.7,0.8166666666666667
6,0.9,128,2,0.0001,2,1,1,1,same,0.10625,1,0.737842370039128,0.737842370039128,0.737842370039128,0.15,0.0,0.05,0.0,0.0,0.65,0.0,0.0,0.7585243152599217,0.5371716042481833,0.9832308552263834,0.5461151481274455,0.864169927333706,0.7585243152599217,0.5371716042481833,0.9832308552263834,0.5461151481274455,0.864169927333706,0.7585243152599217,0.5371716042481833,0.9832308552263834,0.5461151481274455,0.864169927333706,152,152,0.5460526315789473,0.8223684210526315,0.3026315789473684,1.0,0.6578947368421053,0.6973684210526315
6,0.9,128,2,0.0001,2,1,1,1,same,0.10625,2,0.7972035794183445,0.7907158836689038,0.7738255033557047,0.15,0.0,0.05,0.0,0.0,0.65,0.0,0.0,0.7181208053691275,0.6303131991051454,0.9821029082774049,0.7444071588366891,0.9110738255033557,0.6946308724832215,0.6090604026845637,0.9871364653243848,0.7315436241610739,0.9312080536912751,0.7332214765100671,0.6387024608501118,0.9837807606263982,0.6543624161073825,0.8590604026845637,144,144,0.5347222222222222,0.8541666666666666,0.5138888888888888,0.9305555555555556,0.6666666666666666,0.7013888888888888
6,0.9,128,2,0.0001,2,1,1,1,same,0.10625,3,0.7635142697257974,0.7678791270285394,0.7397873531057638,0.15,0.0,0.05,0.0,0.0,0.65,0.0,0.0,0.6754336877448237,0.621152770005596,0.9311695579182988,0.6424174594292109,0.9473978735310576,0.7017347509792949,0.5853385562395076,0.970341354224958,0.6496922216004477,0.932288752098489,0.5472859541130386,0.6983771684387241,0.9227756015668719,0.6194739787353106,0.9110240626748741,136,136,0.47794117647058826,0.875,0.4264705882352941,0.9705882352941176,0.6985294117647058,0.6985294117647058
6,0.9,128,2,0.0001,2,1,1,1,same,0.10625,4,0.7983202687569989,0.8038073908174692,0.8123180291153416,0.15,0.0,0.05,0.0,0.0,0.65,0.0,0.0,0.6920492721164614,0.6539753639417694,0.9507278835386338,0.7469204927211646,0.9479283314669653,0.7094064949608063,0.6237402015677491,0.9764837625979843,0.7726763717805151,0.9367301231802911,0.6618141097424413,0.7581187010078387,0.9596864501679732,0.7665173572228443,0.9154535274356103,128,128,0.4765625,0.875,0.4296875,0.9765625,0.6796875,0.7890625
6,0.9,128,2,0.0001,2,1,1,1,same,0.10625,5,0.7909243697478991,0.7994397759103642,0.8072829131652661,0.15,0.0,0.05,0.0,0.0,0.65,0.0,0.0,0.7025210084033613,0.6705882352941176,0.9070028011204482,0.7361344537815127,0.938375350140056,0.7047619047619048,0.6106442577030813,0.9770308123249299,0.7602240896358543,0.9445378151260504,0.6638655462184874,0.7641456582633053,0.9596638655462185,0.7344537815126051,0.9142857142857143,120,120,0.4666666666666667,0.9,0.43333333333333335,0.9916666666666667,0.6583333333333333,0.825
