samples_per_class,discount,num_features,num_selected,n_support,lambda,kernel1_size,kernel2_size,num_skip,participant1,participant2,test_acc,n_shots,sim_acc,svm_acc,knn_total_acc,lying,standing,walking,running,ascending stairs,vacuum cleaning,rope jumping,sim sitting,sim cycling,sim Nordic walking,sim descending stairs,sim ironing,svm sitting,svm cycling,svm Nordic walking,svm descending stairs,svm ironing,knn sitting,knn cycling,knn Nordic walking,knn descending stairs,knn ironing,len_source,len_target,sim_source,sim_target,svm_source,svm_target,knn_source,knn_target
8,0.9,128,2,5,0.0001,2,1,1,0,same,0.9642857142857143,1,0.6060267857142857,0.6060267857142857,0.6060267857142857,1.0,0.9,1.0,1.0,1.0,0.85,1.0,0.21763392857142858,0.8794642857142857,0.8917410714285714,0.5301339285714286,0.5111607142857143,0.21763392857142858,0.8794642857142857,0.8917410714285714,0.5301339285714286,0.5111607142857143,0.21763392857142858,0.8794642857142857,0.8917410714285714,0.5301339285714286,0.5111607142857143,133,133,0.5037593984962406,0.7518796992481203,0.5488721804511278,0.8646616541353384,0.7518796992481203,0.7969924812030075
8,0.9,128,2,5,0.0001,2,1,1,0,same,0.9642857142857143,2,0.702122905027933,0.6916201117318436,0.668826815642458,1.0,0.9,1.0,1.0,1.0,0.85,1.0,0.5620111731843576,0.9530726256983241,0.8916201117318435,0.4491620111731844,0.6547486033519553,0.49050279329608937,0.9452513966480447,0.9039106145251397,0.4212290502793296,0.6972067039106146,0.4122905027932961,0.9530726256983241,0.8715083798882681,0.43798882681564244,0.6692737430167598,126,126,0.5714285714285714,0.6428571428571429,0.8571428571428571,0.746031746031746,0.8888888888888888,0.7857142857142857
8,0.9,128,2,5,0.0001,2,1,1,0,same,0.9642857142857143,3,0.6615212527964206,0.7017897091722595,0.6722595078299777,1.0,0.9,1.0,1.0,1.0,0.85,1.0,0.4664429530201342,0.9004474272930649,0.901565995525727,0.41946308724832215,0.6196868008948546,0.5637583892617449,0.941834451901566,0.9071588366890381,0.39485458612975394,0.7013422818791947,0.42058165548098436,0.9530201342281879,0.8914988814317674,0.4306487695749441,0.6655480984340044,119,119,0.5966386554621849,0.5546218487394958,0.8487394957983193,0.773109243697479,0.8739495798319328,0.8403361344537815
8,0.9,128,2,5,0.0001,2,1,1,0,same,0.9642857142857143,4,0.6629339305711086,0.7050391937290034,0.6739081746920492,1.0,0.9,1.0,1.0,1.0,0.85,1.0,0.47144456886898095,0.9417693169092946,0.8992161254199328,0.42889137737961924,0.5733482642777156,0.5543113101903695,0.9563269876819709,0.8992161254199328,0.4154535274356103,0.6998880179171333,0.41881298992161253,0.9608062709966405,0.8902575587905935,0.43896976483762595,0.6606942889137738,112,112,0.6160714285714286,0.5446428571428571,0.7678571428571429,0.8214285714285714,0.8482142857142857,0.8571428571428571
8,0.9,128,2,5,0.0001,2,1,1,0,same,0.9642857142857143,5,0.6614349775784754,0.70695067264574,0.7015695067264573,1.0,0.9,1.0,1.0,1.0,0.85,1.0,0.47533632286995514,0.9562780269058296,0.8890134529147982,0.4854260089686099,0.5011210762331838,0.6188340807174888,0.9596412556053812,0.8946188340807175,0.4742152466367713,0.5874439461883408,0.5112107623318386,0.9607623318385651,0.8901345291479821,0.5089686098654709,0.6367713004484304,105,105,0.5904761904761905,0.5523809523809524,0.819047619047619,0.8476190476190476,0.8285714285714286,0.8285714285714286
8,0.9,128,2,5,0.0001,2,1,1,0,different,0.9428571428571428,1,0.40334821428571427,0.40334821428571427,0.40334821428571427,0.95,0.8,1.0,1.0,0.95,0.9,1.0,0.4642857142857143,0.049107142857142856,0.8426339285714286,0.21875,0.4419642857142857,0.4642857142857143,0.049107142857142856,0.8426339285714286,0.21875,0.4419642857142857,0.4642857142857143,0.049107142857142856,0.8426339285714286,0.21875,0.4419642857142857,133,133,0.7368421052631579,0.8120300751879699,0.3308270676691729,0.9172932330827067,0.6766917293233082,0.8421052631578947
8,0.9,128,2,5,0.0001,2,1,1,0,different,0.9428571428571428,2,0.6236871508379889,0.6934078212290503,0.6755307262569833,0.95,0.8,1.0,1.0,0.95,0.9,1.0,0.42681564245810055,0.9284916201117318,0.8033519553072626,0.30502793296089387,0.6547486033519553,0.7184357541899441,0.8994413407821229,0.8391061452513966,0.23575418994413408,0.7743016759776536,0.6782122905027933,0.9139664804469274,0.8402234636871508,0.28044692737430166,0.664804469273743,126,126,0.7619047619047619,0.7698412698412699,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.8412698412698413
8,0.9,128,2,5,0.0001,2,1,1,0,different,0.9428571428571428,3,0.6011185682326622,0.6932885906040268,0.710738255033557,0.95,0.8,1.0,1.0,0.95,0.9,1.0,0.40268456375838924,0.9552572706935123,0.48769574944071586,0.6252796420581656,0.5346756152125279,0.7136465324384788,0.9272930648769575,0.6621923937360179,0.4574944071588367,0.7058165548098434,0.6946308724832215,0.9586129753914989,0.843400447427293,0.4228187919463087,0.6342281879194631,119,119,0.6386554621848739,0.773109243697479,0.6722689075630253,0.8991596638655462,0.773109243697479,0.907563025210084
8,0.9,128,2,5,0.0001,2,1,1,0,different,0.9428571428571428,4,0.6309070548712206,0.7108622620380739,0.6763717805151176,0.95,0.8,1.0,1.0,0.95,0.9,1.0,0.3840985442329227,0.9596864501679732,0.5341545352743561,0.593505039193729,0.683090705487122,0.7760358342665173,0.9249720044792833,0.6371780515117581,0.4490481522956327,0.7670772676371781,0.6752519596864501,0.9585666293393057,0.5856662933930571,0.47928331466965285,0.683090705487122,112,112,0.7321428571428571,0.8125,0.7946428571428571,0.875,0.8035714285714286,0.8928571428571429
8,0.9,128,2,5,0.0001,2,1,1,0,different,0.9428571428571428,5,0.6567264573991032,0.7213004484304932,0.7233183856502242,0.95,0.8,1.0,1.0,0.95,0.9,1.0,0.30829596412556054,0.9562780269058296,0.7073991031390134,0.570627802690583,0.7410313901345291,0.7914798206278026,0.9248878923766816,0.8654708520179372,0.3094170403587444,0.7152466367713004,0.8228699551569507,0.9573991031390134,0.6894618834080718,0.4786995515695067,0.6681614349775785,105,105,0.7428571428571429,0.8285714285714286,0.819047619047619,0.8571428571428571,0.8380952380952381,0.8285714285714286
